,Name,Position,Team,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
109,Josh Hart,SG,Portland Trail Blazers,12960000.0,12000000.0,3491159.0,1655160.0,1655160.0,1394520.0,,,,,,,,,,,,
110,Chris Boucher,PF,Toronto Raptors,12690000.0,7020000.0,6750000.0,1588231.0,457418.0,,,,,,,,,,,,,
111,Kelly Oubre Jr.,SG,Charlotte Hornets,12600000.0,12000000.0,14375000.0,15625000.0,3208630.0,3208630.0,2006640.0,1920240.0,,,,,,,,,,
112,Marvin Bagley III,PF,Detroit Pistons,12500000.0,11312114.0,8963640.0,8556120.0,7305600.0,,,,,,,,,,,,,
113,Dorian Finney-Smith,PF,Dallas Mavericks,12402000.0,4000000.0,4000000.0,4000000.0,1544951.0,1312611.0,543471.0,,,,,,,,,,,
114,Robert Covington,PF,LA Clippers,12307692.0,12975471.0,12138345.0,11301219.0,10464092.0,10464092.0,1015696.0,1000000.0,1000000.0,490180.0,,,,,,,,
115,Kelly Olynyk,PF,Detroit Pistons,12195122.0,12195122.0,12598243.0,12667885.0,12537527.0,12537527.0,3094014.0,2165160.0,2075760.0,1986360.0,,,,,,,,
116,Josh Richardson,SG,San Antonio Spurs,11615328.0,11615328.0,10865952.0,10116576.0,9367200.0,9367200.0,874636.0,525093.0,,,,,,,,,,
117,Devonte' Graham,PG,New Orleans Pelicans,11550000.0,11000000.0,163861.0,1416852.0,988464.0,,,,,,,,,,,,,
118,Terrence Ross,SG,Orlando Magic,11500000.0,12500000.0,13500000.0,12500000.0,10500000.0,10500000.0,10000000.0,3553917.0,2793960.0,2678640.0,2563320.0,,,,,,,
119,Dillon Brooks,SF,Memphis Grizzlies,11400000.0,12200000.0,11400000.0,1618520.0,1378242.0,815615.0,,,,,,,,,,,,
120,Richaun Holmes,C,Sacramento Kings,11215260.0,10384500.0,5005350.0,4767000.0,1600520.0,1600520.0,1025831.0,1074169.0,,,,,,,,,,
121,Reggie Jackson,PG,LA Clippers,11215260.0,10384500.0,1620564.0,512721.0,17043478.0,17043478.0,14956522.0,13913044.0,2204369.0,1260360.0,1260360.0,1156320.0,,,,,,
122,Dwight Powell,C,Dallas Mavericks,11080125.0,11080125.0,11080125.0,10259375.0,9631250.0,9003125.0,8375000.0,845059.0,507336.0,,,,,,,,,
123,Paolo Banchero,F,Orlando Magic,11055120.0,,,,,,,,,,,,,,,,,
124,Robert Williams III,C,Boston Celtics,10937502.0,3661976.0,2029920.0,1937520.0,1654440.0,,,,,,,,,,,,,
125,RJ Barrett,SG,New York Knicks,10900635.0,8623920.0,8231760.0,7839960.0,,,,,,,,,,,,,,
126,Bobby Portis,C,Milwaukee Bucks,10843350.0,4347600.0,3623000.0,15000000.0,2494346.0,2494346.0,1453680.0,1391160.0,,,,,,,,,,
127,Nicolas Batum,PF,LA Clippers,10843350.0,3170029.0,1620564.0,25565217.0,24000000.0,24000000.0,20869566.0,13125306.0,11765500.0,11295250.0,10850000.0,2155365.0,1196760.0,1118760.0,1040640.0,,,
128,Anthony Edwards,SF,Minnesota Timberwolves,10733400.0,10245480.0,9757440.0,,,,,,,,,,,,,,,
129,Cade Cunningham,PG,Detroit Pistons,10552800.0,10050120.0,,,,,,,,,,,,,,,,
130,P.J. Tucker,PF,Philadelphia 76ers,10490000.0,7000000.0,7969537.0,8349039.0,7969537.0,7590035.0,5300000.0,5500000.0,5700000.0,884293.0,884293.0,,,,,,412718.0,
131,Mo Bamba,C,Orlando Magic,10300000.0,7568743.0,5969040.0,5697600.0,4865040.0,,,,,,,,,,,,,
132,Talen Horton-Tucker,SG,Los Angeles Lakers,10260000.0,9500000.0,1517981.0,898310.0,,,,,,,,,,,,,,
133,Derrick Favors,C,Oklahoma City Thunder,10183800.0,9720900.0,9258000.0,17650000.0,16900000.0,12000000.0,11050000.0,12000000.0,12950000.0,6008196.0,4753320.0,4753320.0,4133280.0,,,,,
134,Jae Crowder,PF,Phoenix Suns,10183000.0,9720900.0,9258000.0,7815533.0,7305825.0,6796117.0,6286408.0,6796117.0,915243.0,788872.0,600491.0,,,,,,,
135,Ivica Zubac,C,LA Clippers,10123457.0,7518518.0,7000000.0,6481482.0,1544951.0,1312611.0,1034956.0,,,,,,,,,,,
136,Alec Burks,SG,Detroit Pistons,10012800.0,9536000.0,6000000.0,1620564.0,11536515.0,10845506.0,10154495.0,9463484.0,3034356.0,2202000.0,2111160.0,2111160.0,,,,,,
137,Reggie Bullock,SF,Dallas Mavericks,10012800.0,9536000.0,4200000.0,4000000.0,2500000.0,2500000.0,2255644.0,1252440.0,1200720.0,1149000.0,1149000.0,,,,,,,
138,Danny Green,SF,Memphis Grizzlies,10000000.0,10000000.0,15365853.0,14634146.0,10000000.0,10000000.0,10000000.0,10000000.0,4025000.0,3762500.0,3500000.0,854389.0,,457588.0,,,,
139,Chet Holmgren,F,Oklahoma City Thunder,9891240.0,,,,,,,,,,,,,,,,,
140,De'Andre Hunter,SF,Atlanta Hawks,9835881.0,7775400.0,7422000.0,7068360.0,,,,,,,,,,,,,,
141,Larry Nance Jr.,PF,New Orleans Pelicans,9672727.0,10690909.0,11709091.0,12727273.0,2272391.0,2272391.0,1207680.0,1155600.0,,,,,,,,,,
142,Ja Morant,PG,Memphis Grizzlies,9603360.0,9603360.0,9166800.0,8730240.0,,,,,,,,,,,,,,
